study_id,name,name,software,basecalldate,version,study_id,run_date,sequencer,library_id,run_id,sample_id,sample_source,sample_type,partitioning_method,read_group_id
94,PANGCY,TARGET-40-PANGCY-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7818,612,5378,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,33276
94,PANGCY,TARGET-40-PANGCY-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7818,620,5378,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,33349
94,PANGCY,TARGET-40-PANGCY-01A-01D,BUSTARD,2016-04-22,1.9.4,94,2016-04-15,HiSeq,7818,779,5378,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,36863
94,NAAGJK,TARGET-40-NAAGJK-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7819,612,5379,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35828
94,NAAGJK,TARGET-40-NAAGJK-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7819,620,5379,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35830
94,NAAGJK,TARGET-40-NAAGJK-01A-01D,BUSTARD,2016-04-22,1.9.4,94,2016-04-15,HiSeq,7819,779,5379,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,36868
94,NAAGJM,TARGET-40-NAAGJM-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7820,612,5380,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35829
94,NAAGJM,TARGET-40-NAAGJM-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7820,620,5380,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35831
94,NAAGJM,TARGET-40-NAAGJM-01A-01D,BUSTARD,2016-04-22,1.9.4,94,2016-04-15,HiSeq,7820,779,5380,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,36870
94,NAAGJN,TARGET-40-NAAGJN-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7821,612,5381,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35845
94,NAAGJN,TARGET-40-NAAGJN-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7821,620,5381,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35846
94,NAAGJN,TARGET-40-NAAGJN-01A-01D,BUSTARD,2016-04-22,1.9.4,94,2016-04-15,HiSeq,7821,779,5381,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,36861
94,NAAGJP,TARGET-40-NAAGJP-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7822,612,5382,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35853
94,NAAGJP,TARGET-40-NAAGJP-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7822,620,5382,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35854
94,NAAGJP,TARGET-40-NAAGJP-01A-01D,BUSTARD,2016-04-22,1.9.4,94,2016-04-15,HiSeq,7822,779,5382,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,36865
94,NAAGJR,TARGET-40-NAAGJR-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7823,612,5383,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35861
94,NAAGJR,TARGET-40-NAAGJR-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7823,620,5383,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35862
94,NAAGJR,TARGET-40-NAAGJR-01A-01D,BUSTARD,2016-04-22,1.9.4,94,2016-04-15,HiSeq,7823,779,5383,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,36862
94,NAAGJS,TARGET-40-NAAGJS-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7824,612,5384,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35869
94,NAAGJS,TARGET-40-NAAGJS-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7824,620,5384,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35870
94,NAAGJS,TARGET-40-NAAGJS-01A-01D,BUSTARD,2016-04-22,1.9.4,94,2016-04-15,HiSeq,7824,779,5384,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,36867
94,NAAGJU,TARGET-40-NAAGJU-01A-01D,BUSTARD,2015-01-28,1.9.4,94,2015-01-29,M00919,7825,612,5385,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35876
94,NAAGJU,TARGET-40-NAAGJU-01A-01D,BUSTARD,2015-02-10,1.9.4,94,2015-02-10,M00774,7825,620,5385,Tumor,Genomic DNA,SeqCap_141001_HG19_TargetOsteo1807_EZ,35877
